	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	l_Expense_total_pop	l_Expense_total_pop	l_Expense_total_pop	l_Expense_total_pop	l_Expense_total_pop	l_Expense_total_pop	l_visit_pop	l_visit_pop	l_visit_pop	l_visit_pop	l_visit_pop	l_visit_pop
												
L1_elow_CB0	0.076**	0.138**	0.072*	0.117***	0.122***	-0.009	0.038***	0.053***	0.025*	0.041***	0.045*	-0.001
	(0.028)	(0.063)	(0.035)	(0.033)	(0.042)	(0.022)	(0.009)	(0.018)	(0.013)	(0.013)	(0.024)	(0.005)
L2_elow_CB0	0.064**	0.121**	0.023	0.118***	0.140***	0.017	0.019	0.026**	-0.003	0.047***	0.063***	0.005
	(0.025)	(0.053)	(0.026)	(0.043)	(0.040)	(0.013)	(0.013)	(0.013)	(0.010)	(0.014)	(0.020)	(0.004)
L3_elow_CB0	0.043*	0.084**	0.019	0.142**	0.141***	0.022*	0.003	-0.003	-0.023	0.051***	0.056**	0.002
	(0.024)	(0.037)	(0.028)	(0.053)	(0.040)	(0.012)	(0.018)	(0.019)	(0.021)	(0.012)	(0.021)	(0.003)
L4_elow_CB0	0.151***	0.154**	0.133*	0.185**	0.174***	0.054**	0.056***	0.075**	0.033	0.088***	0.084***	0.011**
	(0.050)	(0.065)	(0.071)	(0.077)	(0.042)	(0.022)	(0.014)	(0.028)	(0.020)	(0.032)	(0.021)	(0.004)
L5_elow_CB0	0.048**	0.054*	-0.030	0.101***	0.124***	0.011	0.011	0.018	-0.022	0.040***	0.046**	0.001
	(0.020)	(0.030)	(0.032)	(0.022)	(0.037)	(0.012)	(0.014)	(0.016)	(0.014)	(0.011)	(0.021)	(0.004)
L6_elow_CB0	0.101***	0.089***	0.021	0.154***	0.127***	0.037***	0.026*	0.028*	-0.004	0.057***	0.051**	0.009**
	(0.023)	(0.029)	(0.030)	(0.027)	(0.044)	(0.010)	(0.013)	(0.015)	(0.015)	(0.010)	(0.024)	(0.003)
L1_ehigh_CB0	-0.005	-0.024	0.011	0.051	0.021	0.002	0.004	-0.016	-0.001	0.013	0.006	-0.000
	(0.051)	(0.045)	(0.050)	(0.031)	(0.028)	(0.010)	(0.019)	(0.019)	(0.018)	(0.014)	(0.016)	(0.003)
L2_ehigh_CB0	0.057**	0.055	0.084***	0.053*	0.003	-0.013	0.020	0.014	0.031**	0.003	-0.002	-0.005
	(0.026)	(0.034)	(0.030)	(0.028)	(0.031)	(0.013)	(0.012)	(0.014)	(0.014)	(0.012)	(0.019)	(0.004)
L3_ehigh_CB0	0.047	0.066*	0.050**	0.089*	0.051	0.003	0.019	0.019	0.014*	0.027	0.026	0.001
	(0.031)	(0.036)	(0.023)	(0.046)	(0.040)	(0.010)	(0.014)	(0.015)	(0.008)	(0.019)	(0.024)	(0.004)
L4_ehigh_CB0	0.089**	0.125**	0.133**	0.123**	0.056	0.003	0.043**	0.050*	0.041**	0.051*	0.036	0.003
	(0.033)	(0.058)	(0.056)	(0.058)	(0.038)	(0.009)	(0.019)	(0.028)	(0.017)	(0.028)	(0.026)	(0.004)
L5_ehigh_CB0	0.047*	0.084*	0.084***	0.078***	-0.033	0.009*	0.013	0.019*	0.023***	0.026**	-0.026	0.002
	(0.025)	(0.049)	(0.030)	(0.027)	(0.050)	(0.005)	(0.012)	(0.009)	(0.008)	(0.010)	(0.029)	(0.002)
L6_ehigh_CB0	0.014	-0.017	0.004	0.037	-0.028	-0.002	-0.007	-0.023	-0.007	0.004	-0.019	-0.001
	(0.029)	(0.022)	(0.023)	(0.022)	(0.050)	(0.011)	(0.018)	(0.018)	(0.011)	(0.013)	(0.028)	(0.002)
												
Observations	690,768	690,768	690,768	690,768	690,768	690,768	690,768	690,768	690,768	690,768	690,768	690,768
R-squared	0.432	0.292	0.243	0.419	0.594	0.187	0.623	0.451	0.359	0.452	0.567	0.221
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
