	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	l_Expense_total_pop	l_Expense_total_pop	l_Expense_total_pop	l_Expense_total_pop	l_Expense_total_pop	l_Expense_total_pop	l_visit_pop	l_visit_pop	l_visit_pop	l_visit_pop	l_visit_pop	l_visit_pop	l_Expense_total_pop	l_Expense_total_pop	l_visit_pop	l_visit_pop
																
L1_elow_CB0	0.124**	0.087*	0.154***	0.189**	0.100***	0.087***	0.085***	0.058***	0.082***	0.084***	0.098***	0.091***	0.100**	0.154***	0.082***	0.083***
	(0.048)	(0.046)	(0.037)	(0.092)	(0.036)	(0.027)	(0.020)	(0.017)	(0.016)	(0.019)	(0.019)	(0.017)	(0.039)	(0.053)	(0.018)	(0.016)
L2_elow_CB0	0.126***	0.196**	0.180**	0.079**	0.140**	0.121***	0.053***	0.056***	0.049***	0.057***	0.071***	0.074***	0.129***	0.156***	0.063***	0.055***
	(0.028)	(0.076)	(0.066)	(0.034)	(0.055)	(0.041)	(0.017)	(0.014)	(0.016)	(0.015)	(0.014)	(0.014)	(0.045)	(0.051)	(0.015)	(0.014)
L3_elow_CB0	0.092***	0.034	0.104***	0.082***	0.088***	0.076***	0.036*	0.017	0.021	0.035	0.049**	0.046***	0.094***	0.067***	0.036*	0.030
	(0.021)	(0.025)	(0.032)	(0.021)	(0.022)	(0.024)	(0.021)	(0.025)	(0.024)	(0.023)	(0.018)	(0.015)	(0.024)	(0.020)	(0.020)	(0.022)
L4_elow_CB0	0.217**	0.194**	0.240**	0.168**	0.197**	0.216**	0.127***	0.109***	0.127***	0.125***	0.144***	0.146***	0.200**	0.215**	0.124***	0.134***
	(0.087)	(0.079)	(0.097)	(0.064)	(0.087)	(0.099)	(0.039)	(0.038)	(0.038)	(0.038)	(0.045)	(0.051)	(0.088)	(0.083)	(0.040)	(0.041)
L5_elow_CB0	0.141**	0.078***	0.103**	0.078**	0.014	0.029	0.051***	0.029*	0.033**	0.039***	0.040**	0.037**	0.066***	0.094***	0.041**	0.036**
	(0.054)	(0.023)	(0.040)	(0.032)	(0.036)	(0.026)	(0.014)	(0.017)	(0.016)	(0.013)	(0.015)	(0.015)	(0.021)	(0.029)	(0.015)	(0.013)
L6_elow_CB0	0.133***	0.082***	0.124***	0.038	0.088***	0.099***	0.069***	0.044**	0.054***	0.050***	0.059***	0.064***	0.109***	0.083***	0.061***	0.053***
	(0.031)	(0.019)	(0.028)	(0.024)	(0.030)	(0.025)	(0.013)	(0.018)	(0.017)	(0.016)	(0.015)	(0.012)	(0.031)	(0.019)	(0.013)	(0.017)
L1_ehigh_CB0	0.028	-0.020	-0.047	-0.037	0.004	-0.018	-0.004	-0.011	-0.013	-0.001	-0.004	-0.006	-0.014	-0.014	-0.003	-0.009
	(0.032)	(0.036)	(0.066)	(0.065)	(0.020)	(0.058)	(0.013)	(0.014)	(0.021)	(0.022)	(0.021)	(0.025)	(0.034)	(0.033)	(0.017)	(0.019)
L2_ehigh_CB0	0.114	0.076	0.055**	-0.021	0.034	0.071***	0.031	0.013	0.031*	0.016	0.030	0.040*	0.070*	0.046	0.029	0.025
	(0.076)	(0.062)	(0.023)	(0.033)	(0.039)	(0.023)	(0.021)	(0.018)	(0.016)	(0.018)	(0.024)	(0.022)	(0.041)	(0.034)	(0.020)	(0.019)
L3_ehigh_CB0	0.113*	0.077	0.024	0.080	0.014	-0.015	0.036	0.027	0.040	0.032	0.029	0.022	0.081	0.025	0.033	0.032
	(0.059)	(0.054)	(0.023)	(0.052)	(0.033)	(0.040)	(0.024)	(0.026)	(0.024)	(0.023)	(0.030)	(0.025)	(0.059)	(0.018)	(0.027)	(0.023)
L4_ehigh_CB0	0.145*	0.094*	0.110	0.104***	0.128*	0.033	0.063	0.056	0.071	0.065*	0.080*	0.054	0.134*	0.077*	0.066*	0.065
	(0.082)	(0.055)	(0.088)	(0.038)	(0.071)	(0.020)	(0.040)	(0.036)	(0.043)	(0.035)	(0.045)	(0.035)	(0.074)	(0.043)	(0.038)	(0.040)
L5_ehigh_CB0	0.074	0.025	0.030	-0.003	-0.001	0.027	0.039**	0.011	0.028**	0.021*	0.018	0.028*	0.061*	-0.006	0.030*	0.022*
	(0.045)	(0.028)	(0.021)	(0.022)	(0.020)	(0.028)	(0.018)	(0.012)	(0.013)	(0.011)	(0.012)	(0.016)	(0.036)	(0.027)	(0.015)	(0.011)
L6_ehigh_CB0	0.041**	0.029*	-0.008	-0.014	-0.027	-0.016	-0.009	-0.021	-0.017	-0.015	-0.014	-0.016	0.012	-0.006	-0.009	-0.019
	(0.019)	(0.016)	(0.017)	(0.041)	(0.043)	(0.031)	(0.017)	(0.023)	(0.025)	(0.027)	(0.025)	(0.019)	(0.017)	(0.023)	(0.019)	(0.025)
																
Observations	115,128	115,128	115,128	115,128	115,128	115,128	115,128	115,128	115,128	115,128	115,128	115,128	345,384	345,384	345,384	345,384
R-squared	0.386	0.464	0.387	0.375	0.347	0.325	0.581	0.641	0.626	0.630	0.625	0.607	0.365	0.390	0.592	0.620
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
